lang	avg_p	avg_cf	avg_i	avg_h	avg_r
Afrikaans	200.98	5282.59	163.7496621394505	8.560321665715161	0.3906588131165427
Albanian	380.015	5247.305	177.37863353555193	9.618445514372196	0.3549558671988546
Armenian	148.88	870.42	83.63189201276172	10.384693592360325	0.2425489848913209
Bulgarian	472.84	4878.12	147.205312939634	10.150581822585906	0.327604092804129
Czech	490.945	4341.69	229.40979254899568	11.042793550890302	0.2792916671634045
Danish	276.875	4431.405	149.50295543321053	9.740538412672	0.3319392092495662
Dutch	275.685	5202.56	314.9456024518229	9.48782223461834	0.3423528860975894
English	141.755	5220.38	749.555615595585	8.664927956095454	0.3651930362178265
Farsi	315.68	3852.475	33.47020070421145	10.029943210260155	0.3349498243040236
French	316.105	5305.175	203.50788722830825	9.70293152494168	0.3354830401897498
German	252.32	4999.675	485.58222368355086	9.621719804263831	0.3288951771343473
Greek	547.205	5702.8	267.68696073244536	9.878534751517954	0.3488532764129584
Gujarati	119.9	1208.69	119.31072785253765	10.214868580613594	0.2655310774501269
Hindi	135.735	4379.025	617.3726350705429	9.42578814795742	0.3407018835576791
Icelandic	398.025	4402.59	209.0961630966146	10.19511549356353	0.3265088055127895
Italian	440.9	5107.015	179.9148949020224	10.12961823702916	0.3230624808793628
Latvian	188.745	1035.785	113.0041962205783	10.300510450443776	0.2606107631001554
Lithuanian	661.28	4246.02	39.661808872770244	11.571949483926971	0.2552473388769045
Marathi	576.67	4781.775	137.03641729193134	11.668400858655165	0.2581705218150624
Nepali	516.545	4809.55	85.94767381236859	11.614381769446334	0.258987633554118
Norwegian	235.61	4661.89	153.50001485086418	9.350342540673768	0.3488319107643945
Polish	532.51	4618.2	144.41180323303877	10.9122081531487	0.2890624650382629
Portuguese	393.105	4844.185	285.77831428183	9.656901277004858	0.3493383104132035
Romanian	261.34	5219.705	192.89584268689055	9.904710240944	0.313393976866782
Russian	684.56	4348.25	37.25168474590775	10.97750897005058	0.2940424596116147
Serbian	448.26	4499.08	133.28320657446963	10.519899052489194	0.3018258135161468
Slovak	480.7	4297.865	118.03646961000894	10.817583369460914	0.2958240728334118
Slovene	529.005	5251.415	87.65921570431703	10.611105150995131	0.304323217703584
Spanish	352.79	5122.87	178.9806797229954	9.490811770353684	0.3558851107744782
Swedish	285.615	4996.085	171.21463364365007	9.718630660785196	0.3339482833002977
Ukranian	213.255	953.69	45.58146163868023	10.450781310212207	0.256764748299469
