të	68784
e	46179
i	42355
a@@	35942
dhe	32779
në	31103
t@@	28929
sh@@	25558
i@@	22987
u@@	22711
r@@	21110
f@@	20889
a	20117
o@@	19624
n@@	19598
e@@	19299
ë@@	18291
k@@	17961
d@@	17742
l@@	17268
do	17175
ar@@	16723
ë	16690
s@@	16620
që	16554
p@@	15694
u	15530
t	15390
it	14861
m@@	14846
je@@	14342
me	13977
in	13698
j@@	13659
ër@@	13580
v@@	13482
z@@	13162
h@@	12648
nd@@	12620
j	12347
ri@@	12316
g@@	12105
dh@@	11621
b@@	11554
për	10786
ku@@	10647
n	10636
at@@	10304
re@@	10200
një	10139
ll@@	9714
ve	9574
ën	9171
s	8906
ni	8889
m	8611
y@@	8391
th@@	8306
gj@@	8280
q@@	8277
mb@@	8173
nga	8069
së	7919
për@@	7881
ja@@	7843
më	7810
tij	7723
bi@@	7718
si@@	7673
ko@@	7611
ka@@	7484
nuk	7444
er@@	7390
di@@	7195
or@@	7024
kë@@	6990
ur	6825
ur@@	6807
mi@@	6802
të@@	6742
et	6703
si	6682
te@@	6484
ro@@	6382
sh	6183
ti	6177
li@@	6172
ra@@	6144
uar	6133
jë	6099
sht@@	6097
'@@	5933
ta	5787
ve@@	5711
to@@	5446
pa@@	5392
ç@@	5388
ai	5271
ma@@	5144
ti@@	5069
te	4985
r	4920
se	4896
ër	4771
nj@@	4755
ba@@	4730
është	4616
por	4609
o	4590
ki@@	4488
ka	4437
ja	4374
je	4331
gjith@@	4303
ët	4302
ua@@	4228
perëndi@@	4197
sepse	4189
tyre	4185
sa@@	4170
unë	4168
zoti	4130
nd	4108
shte	4052
em@@	4036
bë@@	3993
be@@	3977
pu@@	3903
he@@	3845
mbre@@	3718
de@@	3708
ata	3672
me@@	3597
po@@	3525
la@@	3423
le@@	3398
da@@	3392
ës	3384
ju	3352
tër@@	3348
mo@@	3301
kur	3281
lo@@	3264
mi	3235
ua	3225
atë	3213
shk@@	3211
vi@@	3201
jnë	3174
ta@@	3168
pi@@	3167
mbi	3124
ng@@	3109
duke	3078
ënë	3019
ke@@	3009
qi@@	2938
zo@@	2933
shin	2931
pre@@	2853
het	2843
nin	2824
vend@@	2817
y	2815
t'i	2801
she@@	2763
zotit	2759
tha	2745
rë	2728
po	2723
c@@	2716
më@@	2711
el@@	2648
kështu	2646
l	2577
ra	2570
im	2570
ri	2565
jtë	2555
h	2538
gji@@	2529
bër@@	2519
ry@@	2512
jetë	2488
pra@@	2443
ha@@	2421
ni@@	2417
go@@	2386
sa	2385
ci@@	2379
k	2373
jo@@	2368
izrael@@	2360
tit	2355
tën	2336
njer@@	2322
gje@@	2305
fi@@	2298
mu@@	2258
shtë@@	2231
na@@	2228
pe@@	2217
qe@@	2195
ndo@@	2177
tho@@	2161
tërë	2149
para	2126
lu@@	2115
ëll@@	2099
mos	2091
ëz@@	2084
edhe	2079
jo	2070
do@@	2068
mit	2064
ut	2059
uan	2051
nit	2047
so@@	2032
pastaj	2024
atëherë	2022
par@@	1995
jer@@	1965
du@@	1957
t'@@	1849
se@@	1828
'	1780
yr@@	1737
pas@@	1356
ësh@@	1332
yre	1307
shtu	1298
ke	1265
ënd@@	1260
q	1150
p	986
x@@	947
ç	902
-@@	770
z	713
nu@@	514
g	473
herë	406
pse	395
perënd@@	375
atë@@	327
erë	317
b	316
per@@	278
izra@@	229
iz@@	188
é@@	170
d	156
c	118
>	65
<@@	65
v	49
f	39
é	7
taj	3
ö@@	1
è@@	1
è	1
7@@	1
3@@	1
