och	41673
g@@	36487
s@@	36415
d@@	29091
s	28598
k@@	28497
m@@	27754
l@@	25369
t@@	25042
v@@	24313
en	23061
n@@	22289
f@@	22030
i	21872
t	21664
de	21337
r@@	21049
b@@	20163
st@@	19028
e@@	18917
a	18090
h@@	17868
a@@	16776
d	15638
o@@	15360
p@@	15167
till	14446
u@@	14101
i@@	14099
å@@	14097
ö@@	13873
j@@	13524
som	12905
an@@	12439
de@@	12337
e	12333
den	11918
ä@@	11914
för@@	11698
er@@	11355
han	11218
y@@	11123
att	10891
ar	10372
är@@	10274
för	10154
än@@	9981
et	9882
er	9818
är	9790
det	9651
or@@	9631
na	9284
in@@	9173
vi@@	9131
ar@@	9129
jag	8990
o	8881
så	8462
ra@@	8455
n	8408
en@@	8288
sa@@	8181
li@@	8089
g	8040
k	7949
un@@	7886
skall	7867
om	7867
el@@	7847
på	7793
an	7763
sk@@	7617
av	7491
tt	7332
icke	7304
ra	7052
on	6937
tt@@	6883
med	6775
ga	6768
ade	6701
be@@	6658
gen	6493
da	6473
du	6375
rä@@	6192
har	6136
ti@@	6112
der	6083
ll@@	6021
dem	5915
va	5878
var@@	5850
honom	5848
ha@@	5738
å	5713
m	5482
då	5472
herren	5412
da@@	5353
si@@	5289
men	5189
ta@@	5175
na@@	5153
le@@	5146
hö@@	4814
all@@	4657
dig	4589
hu@@	4522
ut@@	4474
äl@@	4445
mig	4437
gi@@	4356
ina	4347
ed@@	4309
lä@@	4272
sade	4266
ri@@	4265
var	4228
sig	4166
från	4067
se	3959
ju@@	3950
r	3948
ck@@	3932
ro@@	3911
la@@	3909
ens	3888
l	3882
ta	3863
där@@	3855
sä@@	3782
eder	3765
hade	3718
hans	3682
komm@@	3576
di@@	3565
jor@@	3501
ty	3472
on@@	3467
fr@@	3403
ja	3341
alla	3326
ne@@	3322
åt	3308
v	3290
ing@@	3276
nu	3269
när	3237
ett	3224
tta	3159
mm@@	3149
ll	3138
konun@@	3128
br@@	3120
are	3117
bar@@	3106
år	3072
vä@@	3042
bli@@	3042
herr@@	3029
sin	3008
ån@@	2999
fol@@	2992
vid	2986
u	2957
fa@@	2950
gud	2921
ss	2907
oc@@	2877
st	2844
ing	2817
tr@@	2763
såsom	2744
min	2743
sta@@	2728
vad	2721
te	2697
gu@@	2695
ka	2686
din	2679
gö@@	2672
upp	2666
lo@@	2660
he@@	2651
efter	2651
ger	2633
der@@	2628
isra@@	2608
man	2603
över	2566
ba@@	2565
till@@	2560
or	2555
mot	2464
sku@@	2432
upp@@	2423
någ@@	2417
sj@@	2367
land	2367
se@@	2362
ten	2352
ller	2313
sa	2297
me@@	2285
gt	2284
mi@@	2262
ka@@	2261
el	2258
dö@@	2240
änn@@	2228
va@@	2220
fö@@	2214
of@@	2210
skola	2205
ut	2183
om@@	2173
så@@	2127
c@@	2121
mo@@	2105
ter	1953
ska@@	1911
öv@@	1835
han@@	1727
ja@@	1608
p	1496
ol@@	1400
ef@@	1314
lan@@	1183
'	1165
j	1134
ig	1123
ko@@	1087
in	1082
is@@	1052
skol@@	1049
é@@	966
b	920
'@@	854
-@@	764
frå@@	608
åg@@	538
x@@	492
ick@@	476
x	374
ö	325
-	313
f	274
her@@	244
y	229
kon@@	153
ä	150
up@@	146
hon@@	97
é	28
2@@	23
4@@	17
0	17
8@@	7
6@@	7
ó@@	6
9@@	6
7@@	5
3@@	5
1@@	5
í@@	4
5@@	4
0@@	4
á@@	1
h	1
