с@@	27
по@@	26
не@@	26
та	25
з@@	24
в@@	24
т	23
но	23
л@@	23
ние	22
ни	22
к@@	22
ве@@	22
г@@	21
ъ@@	20
ра@@	20
р@@	20
на@@	20
и	20
за@@	20
д@@	20
о	19
ят	17
ите	17
а	17
раз@@	16
е@@	16
я@@	15
я	15
у@@	15
п@@	15
м@@	15
ли@@	15
ви@@	15
ха	14
то	14
т@@	14
ле@@	14
во@@	14
те	13
ре@@	13
о@@	13
ни@@	13
лю@@	13
и@@	13
да@@	13
б@@	13
н	12
е	12
бо@@	12
ост	11
об@@	11
н@@	11
ка@@	11
же@@	11
ж@@	11
де@@	11
ва@@	11
ва	11
ст@@	10
на	10
мо@@	10
ла@@	10
л	10
из@@	10
без@@	10
бе@@	10
ум@@	9
ръ@@	9
ро@@	9
пре@@	9
м	9
ка	9
до@@	9
го@@	9
ч@@	8
ц@@	8
ст	8
ра	8
правед@@	8
ниц@@	8
к	8
да	8
въз@@	8
ви	8
чи@@	7
стта	7
р	7
от@@	7
ност	7
ло@@	7
ли	7
гла@@	7
блуд@@	7
благода@@	7
би	7
ър@@	6
сла@@	6
ск@@	6
се@@	6
све@@	6
пла@@	6
обича@@	6
нието	6
не	6
мърт@@	6
ми@@	6
ла	6
ко@@	6
ен	6
дя@@	6
доб@@	6
вя@@	6
ата	6
ът	5
ш@@	5
чист@@	5
че@@	5
ц	5
х	5
ува@@	5
уби@@	5
стра@@	5
сле@@	5
свя@@	5
ри@@	5
при@@	5
пад@@	5
па@@	5
ня@@	5
но@@	5
ната	5
ме@@	5
ма@@	5
йте	5
жи@@	5
добр@@	5
ди	5
ден	5
вър@@	5
веч@@	5
ват	5
в	5
благо@@	5
би@@	5
ще@@	4
ши@@	4
чести@@	4
ч	4
це@@	4
хва@@	4
търпе@@	4
тру@@	4
тре@@	4
ти	4
тел@@	4
те@@	4
съ@@	4
сто@@	4
сти@@	4
ство	4
слу@@	4
прост@@	4
про@@	4
поко@@	4
ос@@	4
ните	4
мъдр@@	4
ля@@	4
й	4
жа@@	4
духо@@	4
дни	4
дале@@	4
гу@@	4
греш@@	4
гр@@	4
ге@@	4
бога@@	4
благосло@@	4
б	4
ан@@	4
а@@	4
щ@@	3
ше	3
ча@@	3
ху@@	3
хвал@@	3
х@@	3
унищо@@	3
уго@@	3
тъм@@	3
тост	3
тите	3
ти@@	3
та@@	3
страхува@@	3
страда@@	3
ств@@	3
срам@@	3
сля@@	3
слеп@@	3
сирома@@	3
си@@	3
си	3
свобо@@	3
с	3
рие	3
разум@@	3
рад@@	3
проща@@	3
прос@@	3
преда@@	3
прав@@	3
пе@@	3
оби@@	3
мър@@	3
мъд@@	3
лу@@	3
й@@	3
д	3
бла@@	3
ъз@@	2
ща@@	2
ш	2
праве@@	2
пр@@	2
п	2
гре@@	2
гос@@	2
га@@	2
ю@@	1
ъд@@	1
щ	1
ух@@	1
у	1
тъ@@	1
сра@@	1
пра@@	1
нищ@@	1
ж	1
ето	1
г	1
вобо@@	1
